date,year,window,int/ext,within_league,season,player_name,position,from_country,from_league,from_team,to_country,to_league,team,age_transfer,market value,fee amount,duration_cleaned,dur_rounded,fee amount_mean,date_deadline,days_to_deadline,dtd_rounded
2015-08-25,2015,1,E,False,15/16,Felipe Pires,Left Winger,Austria,Bundesliga,RB Salzburg ,Germany,1.Bundesliga,TSG 1899 Hoffenheim,20,0.5,1.0,10.0,12,4.8136875,2015-08-31,6,10
2015-07-01,2015,1,I,False,15/16,Antonio Colak,Centre-Forward,Germany,2.Bundesliga,1.FC Nuremberg ,Germany,1.Bundesliga,TSG 1899 Hoffenheim,21,0.6,0.5,11.0,12,4.8136875,2015-08-31,61,60
2015-07-01,2015,1,E,False,15/16,Marko Maric,Goalkeeper,Austria,Bundesliga,Rapid Vienna ,Germany,1.Bundesliga,TSG 1899 Hoffenheim,19,0.4,0.5,11.0,12,4.8136875,2015-08-31,61,60
2015-07-06,2015,1,I,True,15/16,Étienne Capoue,Defensive Midfield,England,Premier League,Spurs ,England,Premier League,Watford FC,26,7.5,8.9,23.0,24,7.3586842105263175,2015-09-01,57,60
2015-07-01,2015,1,E,False,15/16,Matej Vydra,Centre-Forward,Italy,Serie A,Udinese Calcio ,England,Premier League,Watford FC,23,5.5,8.4,0.0,0,7.3586842105263175,2015-09-01,62,60
2015-09-01,2015,1,E,False,15/16,Obbi Oulare,Centre-Forward,Belgium,Jupiler Pro League,Club Brugge ,England,Premier League,Watford FC,19,5.0,8.23,33.0,36,7.3586842105263175,2015-09-01,0,0
2015-07-27,2015,1,E,False,15/16,Steven Berghuis,Right Winger,Netherlands,Eredivisie,AZ Alkmaar ,England,Premier League,Watford FC,23,3.5,6.5,0.0,0,7.3586842105263175,2015-09-01,36,40
2015-07-11,2015,1,E,False,15/16,Valon Behrami,Defensive Midfield,Germany,1.Bundesliga,Hamburger SV ,England,Premier League,Watford FC,30,3.5,3.5,23.0,24,7.3586842105263175,2015-09-01,52,50
2015-07-02,2015,1,E,False,15/16,Jose Cholevas,Left-Back,Italy,Serie A,AS Roma ,England,Premier League,Watford FC,31,2.0,2.5,23.0,24,7.3586842105263175,2015-09-01,61,60
2015-07-01,2015,1,I,True,15/16,Mitchell Langerak,Goalkeeper,Germany,1.Bundesliga,Bor. Dortmund ,Germany,1.Bundesliga,VfB Stuttgart,26,2.5,3.5,11.0,12,3.664814814814816,2015-08-31,61,60
2015-08-27,2015,1,E,False,15/16,Toni Sunjic,Centre-Back,Russia,Premier Liga,Kuban Krasnodar ,Germany,1.Bundesliga,VfB Stuttgart,26,2.8,3.0,22.0,24,3.664814814814816,2015-08-31,4,0
2015-07-01,2015,1,I,False,15/16,Joshua Kimmich,Defensive Midfield,Germany,2.Bundesliga,RB Leipzig ,Germany,1.Bundesliga,VfB Stuttgart,20,5.0,1.5,0.0,0,3.664814814814816,2015-08-31,61,60
2015-07-01,2015,1,E,False,15/16,Jan Kliment,Centre-Forward,Czech Republic,Gambrinus Liga,FC Vysocina ,Germany,1.Bundesliga,VfB Stuttgart,21,0.75,1.5,0.0,0,3.664814814814816,2015-08-31,61,60
2015-07-01,2015,1,E,False,15/16,Przemyslaw Tyton,Goalkeeper,Netherlands,Eredivisie,PSV Eindhoven ,Germany,1.Bundesliga,VfB Stuttgart,28,2.5,1.0,11.0,12,3.664814814814816,2015-08-31,61,60
2015-07-01,2015,1,I,False,15/16,Philip Heise,Left-Back,Germany,2.Bundesliga,1.FC Heidenheim ,Germany,1.Bundesliga,VfB Stuttgart,24,0.8,0.75,23.0,24,3.664814814814816,2015-08-31,61,60
2015-07-02,2015,1,E,False,15/16,Andreas Bjelland,Centre-Back,Netherlands,Eredivisie,Twente FC ,England,Championship,Brentford FC,26,3.0,2.5,11.0,12,2.338,2015-09-01,61,60
2015-07-23,2015,1,E,False,15/16,Philipp Hofmann,Centre-Forward,Germany,2.Bundesliga,1.FC K'lautern ,England,Championship,Brentford FC,22,1.0,2.0,23.0,24,2.338,2015-09-01,40,40
2015-08-14,2015,1,E,False,15/16,Maxime Colin,Right-Back,Belgium,Jupiler Pro League,RSC Anderlecht ,England,Championship,Brentford FC,23,1.5,1.5,22.0,24,2.338,2015-09-01,18,20
2015-09-01,2015,1,I,False,15/16,Ryan Woods,Defensive Midfield,England,League One,Shrewsbury ,England,Championship,Brentford FC,21,0.05,1.35,0.0,0,2.338,2015-09-01,0,0
2015-07-24,2015,1,E,False,15/16,Lasse Vibe,Centre-Forward,Sweden,Allsvenskan,IFK Göteborg ,England,Championship,Brentford FC,28,2.0,1.3,11.0,12,2.338,2015-09-01,39,40
2015-07-10,2015,1,I,False,15/16,Josh McEachran,Central Midfield,England,Premier League,Chelsea ,England,Championship,Brentford FC,22,2.0,1.04,11.0,12,2.338,2015-09-01,53,50
2015-07-01,2015,1,E,False,15/16,Yoann Barbet,Centre-Back,France,Ligue 2,Chamois Niort ,England,Championship,Brentford FC,22,0.3,0.7,0.0,0,2.338,2015-09-01,62,60
2015-07-13,2015,1,E,False,15/16,Oscar Hiljemark,Central Midfield,Netherlands,Eredivisie,PSV Eindhoven ,Italy,Serie A,US Palermo,23,2.25,2.5,24.0,24,1.3619999999999999,2015-08-31,49,50
2015-07-28,2015,1,E,False,15/16,Abdelhamid El Kaoutari,Centre-Back,France,Ligue 1,Montpellier ,Italy,Serie A,US Palermo,25,4.0,2.0,11.0,12,1.3619999999999999,2015-08-31,34,30
2015-07-01,2015,1,I,True,15/16,Edoardo Goldaniga,Centre-Back,Italy,Serie A,Juventus ,Italy,Serie A,US Palermo,21,0.8,1.5,0.0,0,1.3619999999999999,2015-08-31,61,60
2015-07-01,2015,1,E,False,15/16,Matheus Cassini,Attacking Midfield,Brazil,Campeonato Brasileiro Série A,Corinthians ,Italy,Serie A,US Palermo,19,0.25,1.5,0.0,0,1.3619999999999999,2015-08-31,61,60
2015-07-01,2015,1,E,False,15/16,Aleksandar Trajkovski,Left Winger,Belgium,Jupiler Pro League,Zulte Waregem ,Italy,Serie A,US Palermo,22,1.2,0.9,0.0,0,1.3619999999999999,2015-08-31,61,60
2015-07-01,2015,1,I,True,15/16,Federico Viviani,Defensive Midfield,Italy,Serie A,AS Roma ,Italy,Serie A,Hellas Verona,23,2.8,4.0,23.0,24,1.5886296296296294,2015-08-31,61,60
2015-07-22,2015,1,E,False,15/16,Filip Helander,Centre-Back,Sweden,Allsvenskan,Malmö FF ,Italy,Serie A,Hellas Verona,22,1.5,1.0,5.0,6,1.5886296296296294,2015-08-31,40,40
2015-07-01,2015,1,I,True,15/16,Eros Pisano,Right-Back,Italy,Serie A,US Palermo ,Italy,Serie A,Hellas Verona,28,0.5,1.0,11.0,12,1.5886296296296294,2015-08-31,61,60
2015-07-01,2015,1,I,True,15/16,Leandro Greco,Central Midfield,Italy,Serie A,Genoa ,Italy,Serie A,Hellas Verona,28,2.5,0.3,23.0,24,1.5886296296296294,2015-08-31,61,60
2015-08-13,2015,1,E,False,15/16,Charles Aránguiz,Central Midfield,Brazil,Campeonato Brasileiro Série A,Internacional ,Germany,1.Bundesliga,Bayer 04 Leverkusen,26,9.5,13.0,34.0,36,12.18888888888889,2015-08-31,18,20
2015-08-31,2015,1,E,False,15/16,Chicharito,Centre-Forward,England,Premier League,Man Utd ,Germany,1.Bundesliga,Bayer 04 Leverkusen,27,10.0,12.0,9.0,12,12.18888888888889,2015-08-31,0,0
2015-08-28,2015,1,I,True,15/16,Kevin Kampl,Central Midfield,Germany,1.Bundesliga,Bor. Dortmund ,Germany,1.Bundesliga,Bayer 04 Leverkusen,24,9.0,11.0,46.0,48,12.18888888888889,2015-08-31,3,0
2015-07-01,2015,1,I,False,15/16,Admir Mehmedi,Second Striker,Germany,2.Bundesliga,SC Freiburg ,Germany,1.Bundesliga,Bayer 04 Leverkusen,24,6.0,8.0,47.0,48,12.18888888888889,2015-08-31,61,60
2015-07-16,2015,1,I,True,15/16,Jonathan Tah,Centre-Back,Germany,1.Bundesliga,Hamburger SV ,Germany,1.Bundesliga,Bayer 04 Leverkusen,19,6.0,7.5,35.0,36,12.18888888888889,2015-08-31,46,50
2015-07-01,2015,1,I,True,15/16,Kyriakos Papadopoulos,Centre-Back,Germany,1.Bundesliga,FC Schalke 04 ,Germany,1.Bundesliga,Bayer 04 Leverkusen,23,7.5,6.5,11.0,12,12.18888888888889,2015-08-31,61,60
2015-07-01,2015,1,I,False,15/16,Oliver Sorg,Right-Back,Germany,2.Bundesliga,SC Freiburg ,Germany,1.Bundesliga,Hannover 96,25,3.5,3.5,11.0,12,3.18,2015-08-31,61,60
2015-07-17,2015,1,E,False,15/16,Mevlüt Erdinc,Centre-Forward,France,Ligue 1,Saint-Étienne ,Germany,1.Bundesliga,Hannover 96,28,4.0,3.3,23.0,24,3.18,2015-08-31,45,40
2015-07-01,2015,1,I,False,15/16,Felix Klaus,Right Winger,Germany,2.Bundesliga,SC Freiburg ,Germany,1.Bundesliga,Hannover 96,22,3.0,3.0,23.0,24,3.18,2015-08-31,61,60
2015-07-08,2015,1,E,False,15/16,Uffe Bech,Right Winger,Denmark,Superligaen,Nordsjaelland ,Germany,1.Bundesliga,Hannover 96,22,2.0,2.0,11.0,12,3.18,2015-08-31,54,50
2015-07-01,2015,1,I,False,15/16,Charlison Benschop,Centre-Forward,Germany,2.Bundesliga,F. Düsseldorf ,Germany,1.Bundesliga,Hannover 96,25,2.0,1.5,23.0,24,3.18,2015-08-31,61,60
2015-07-01,2015,1,I,False,15/16,Massimo Luongo,Central Midfield,England,League One,Swindon Town ,England,Championship,Queens Park Rangers,22,1.5,4.28,11.0,12,1.6472727272727274,2015-09-01,62,60
2015-07-20,2015,1,E,False,15/16,Tjaronn Chery,Attacking Midfield,Netherlands,Eredivisie,FC Groningen ,England,Championship,Queens Park Rangers,27,4.0,2.34,11.0,12,1.6472727272727274,2015-09-01,43,40
2015-07-02,2015,1,E,False,15/16,Sebastian Polter,Centre-Forward,Germany,1.Bundesliga,1.FSV Mainz 05 ,England,Championship,Queens Park Rangers,24,1.5,2.3,23.0,24,1.6472727272727274,2015-09-01,61,60
2015-08-20,2015,1,I,True,15/16,Alex Smithies,Goalkeeper,England,Championship,Huddersfield ,England,Championship,Queens Park Rangers,25,0.5,2.1,34.0,36,1.6472727272727274,2015-09-01,12,10
2015-07-31,2015,1,I,False,15/16,James Perch,Defensive Midfield,England,League One,Wigan ,England,Championship,Queens Park Rangers,29,1.5,1.4,22.0,24,1.6472727272727274,2015-09-01,32,30
2015-07-01,2015,1,I,False,15/16,Ben Gladwin,Central Midfield,England,League One,Swindon Town ,England,Championship,Queens Park Rangers,23,0.15,0.71,23.0,24,1.6472727272727274,2015-09-01,62,60
2015-07-01,2015,1,I,True,15/16,Johannes Geis,Defensive Midfield,Germany,1.Bundesliga,1.FSV Mainz 05 ,Germany,1.Bundesliga,FC Schalke 04,21,11.0,10.5,23.0,24,7.628571428571428,2015-08-31,61,60
2015-07-01,2015,1,E,False,15/16,Matija Nastasic,Centre-Back,England,Premier League,Man City ,Germany,1.Bundesliga,FC Schalke 04,22,14.0,9.5,23.0,24,7.628571428571428,2015-08-31,61,60
2015-07-25,2015,1,I,True,15/16,Franco Di Santo,Centre-Forward,Germany,1.Bundesliga,Werder Bremen ,Germany,1.Bundesliga,FC Schalke 04,26,8.5,6.0,11.0,12,7.628571428571428,2015-08-31,37,40
2015-07-01,2015,1,E,False,15/16,Júnior Caiçara,Right-Back,Bulgaria,A Grupa,Ludogorets ,Germany,1.Bundesliga,FC Schalke 04,26,6.0,4.5,23.0,24,7.628571428571428,2015-08-31,61,60
2015-08-27,2015,1,I,False,15/16,Alexander Nübel,Goalkeeper,Germany,2.Bundesliga,SC Paderborn ,Germany,1.Bundesliga,FC Schalke 04,18,0.1,0.6,0.0,0,7.628571428571428,2015-08-31,4,0
2015-08-14,2015,1,E,False,15/16,Roberto Soldado,Centre-Forward,England,Premier League,Spurs ,Spain,Primera División,Villarreal CF,30,10.0,16.0,22.0,24,9.139705882352944,2015-08-31,17,20
2015-07-01,2015,1,I,True,15/16,Samu Castillejo,Right Winger,Spain,Primera División,Málaga CF ,Spain,Primera División,Villarreal CF,20,7.5,8.0,35.0,36,9.139705882352944,2015-08-31,61,60
2015-07-01,2015,1,I,True,15/16,Samu García,Right Winger,Spain,Primera División,Málaga CF ,Spain,Primera División,Villarreal CF,24,7.5,8.0,47.0,48,9.139705882352944,2015-08-31,61,60
2015-08-19,2015,1,E,False,15/16,Cédric Bakambu,Centre-Forward,Turkey,Süper Lig,Bursaspor ,Spain,Primera División,Villarreal CF,24,5.5,7.5,34.0,36,9.139705882352944,2015-08-31,12,10
2015-08-29,2015,1,I,True,15/16,Denis Suárez,Attacking Midfield,Spain,Primera División,FC Barcelona ,Spain,Primera División,Villarreal CF,21,12.0,4.0,22.0,24,9.139705882352944,2015-08-31,2,0
2015-07-01,2015,1,I,True,15/16,Víctor Ruiz,Centre-Back,Spain,Primera División,Valencia ,Spain,Primera División,Villarreal CF,26,4.0,2.7,11.0,12,9.139705882352944,2015-08-31,61,60
2015-08-29,2015,1,E,False,15/16,Sergi Darder,Central Midfield,Spain,Primera División,Málaga CF ,France,Ligue 1,Olympique Lyon,21,7.5,13.1,34.0,36,9.455882352941176,2015-08-31,2,0
2015-08-11,2015,1,E,False,15/16,Mathieu Valbuena,Attacking Midfield,Russia,Premier Liga,Dinamo Moscow ,France,Ligue 1,Olympique Lyon,30,11.5,6.0,22.0,24,9.455882352941176,2015-08-31,20,20
2015-07-01,2015,1,I,True,15/16,Claudio Beauvue,Centre-Forward,France,Ligue 1,Guingamp ,France,Ligue 1,Olympique Lyon,27,5.0,6.0,23.0,24,9.455882352941176,2015-08-31,61,60
2015-08-03,2015,1,E,False,15/16,Rafael,Right-Back,England,Premier League,Man Utd ,France,Ligue 1,Olympique Lyon,25,10.0,3.2,10.0,12,9.455882352941176,2015-08-31,28,30
2015-08-31,2015,1,I,False,15/16,Lucas Tousart,Defensive Midfield,France,Ligue 2,Valenciennes FC ,France,Ligue 1,Olympique Lyon,18,0.4,2.6,0.0,0,9.455882352941176,2015-08-31,0,0
2015-08-31,2015,1,E,False,15/16,Olivier Kemen,Central Midfield,England,U21 Premier League,Newcastle U23 ,France,Ligue 1,Olympique Lyon,19,0.0008,0.8,0.0,0,9.455882352941176,2015-08-31,0,0
2015-07-01,2015,1,E,False,15/16,Geoffrey Kondogbia,Central Midfield,France,Ligue 1,Monaco ,Italy,Serie A,Inter Milan,22,16.0,36.0,35.0,36,17.147674418604655,2015-08-31,61,60
2015-08-30,2015,1,E,False,15/16,Ivan Perisic,Left Winger,Germany,1.Bundesliga,VfL Wolfsburg ,Italy,Serie A,Inter Milan,26,13.0,19.0,22.0,24,17.147674418604655,2015-08-31,1,0
2015-07-01,2015,1,E,False,15/16,Xherdan Shaqiri,Right Winger,Germany,1.Bundesliga,Bayern Munich  ,Italy,Serie A,Inter Milan,23,17.0,15.0,11.0,12,17.147674418604655,2015-08-31,61,60
2015-07-01,2015,1,E,False,15/16,Jeison Murillo,Centre-Back,Spain,Primera División,Granada CF ,Italy,Serie A,Inter Milan,23,8.0,8.0,11.0,12,17.147674418604655,2015-08-31,61,60
2015-08-31,2015,1,E,False,15/16,Felipe Melo,Defensive Midfield,Turkey,Süper Lig,Galatasaray ,Italy,Serie A,Inter Milan,32,7.0,4.2,45.0,48,17.147674418604655,2015-08-31,0,0
2015-07-01,2015,1,E,False,15/16,Davide Santon,Right-Back,England,Premier League,Newcastle ,Italy,Serie A,Inter Milan,24,7.0,3.7,11.0,12,17.147674418604655,2015-08-31,61,60
2015-07-30,2015,1,I,True,15/16,Jesper Drost,Attacking Midfield,Netherlands,Eredivisie,PEC Zwolle ,Netherlands,Eredivisie,FC Groningen,22,1.5,1.45,23.0,24,0.7307692307692307,2015-08-31,32,30
2015-07-01,2015,1,I,True,15/16,Bryan Linssen,Left Winger,Netherlands,Eredivisie,Heracles Almelo ,Netherlands,Eredivisie,FC Groningen,24,1.25,0.85,11.0,12,0.7307692307692307,2015-08-31,61,60
2015-08-14,2015,1,E,False,15/16,Kasper Larsen,Centre-Back,Denmark,Superligaen,Odense BK ,Netherlands,Eredivisie,FC Groningen,22,0.5,0.45,22.0,24,0.7307692307692307,2015-08-31,17,20
2015-08-14,2015,1,I,True,15/16,Etiënne Reijnen,Centre-Back,Netherlands,Eredivisie,SC Cambuur ,Netherlands,Eredivisie,FC Groningen,28,0.8,0.4,10.0,12,0.7307692307692307,2015-08-31,17,20
2015-08-07,2015,1,E,False,15/16,Nikola Stojiljkovic,Centre-Forward,Serbia,SuperLiga,Cukaricki ,Portugal,Primeira Liga,SC Braga,22,0.9,0.75,0.0,0,1.2598571428571428,2015-08-31,24,20
2015-07-08,2015,1,E,False,15/16,Alef,Defensive Midfield,Brazil,Campeonato Brasileiro Série A,Ponte Preta ,Portugal,Primeira Liga,SC Braga,20,0.25,0.75,13.0,12,1.2598571428571428,2015-08-31,54,50
2015-08-26,2015,1,I,True,15/16,Ahmed Hassan,Centre-Forward,Portugal,Primeira Liga,Rio Ave FC ,Portugal,Primeira Liga,SC Braga,22,4.8,0.7,0.0,0,1.2598571428571428,2015-08-26,0,0
2015-07-01,2015,1,unknown,False,15/16,Crislan,Centre-Forward,Unknown,Unknown,Penapolense-SP ,Portugal,Primeira Liga,SC Braga,23,0.25,0.6,34.0,36,1.2598571428571428,2015-07-01,0,0
2015-07-01,2015,1,unknown,False,15/16,Rodrigo Pinho,Centre-Forward,Unknown,Unknown,Madureira-RJ ,Portugal,Primeira Liga,SC Braga,24,0.1,0.4,0.0,0,1.2598571428571428,2015-07-01,0,0
2015-07-02,2015,1,I,False,15/16,Ricardo Ferreira,Centre-Back,Portugal,Segunda Liga,Olhanense ,Portugal,Primeira Liga,SC Braga,22,0.4,0.3,11.0,12,1.2598571428571428,2015-08-26,55,60
2015-08-28,2015,1,E,False,15/16,Arghus,Centre-Back,Slovenia,Prva Liga,NK Maribor ,Portugal,Primeira Liga,SC Braga,27,0.75,0.2,22.0,24,1.2598571428571428,2015-08-31,3,0
2015-08-31,2015,1,E,False,15/16,Pablo,Centre-Back,Brazil,Campeonato Brasileiro Série A,Ponte Preta ,France,Ligue 1,FC Girondins Bordeaux,24,1.5,2.0,16.0,18,3.694,2015-08-31,0,0
2015-07-22,2015,1,E,False,15/16,Milan Gajic,Right-Back,Serbia,SuperLiga,OFK Beograd ,France,Ligue 1,FC Girondins Bordeaux,19,0.8,1.0,17.0,18,3.694,2015-08-31,40,40
2015-07-07,2015,1,E,False,15/16,Zé Luís,Centre-Forward,Portugal,Primeira Liga,Braga ,Russia,Premier Liga,Spartak Moscow,24,3.5,6.5,11.0,12,5.227083333333333,2015-07-29,22,20
2015-07-01,2015,1,I,True,15/16,Ivelin Popov,Attacking Midfield,Russia,Premier Liga,Kuban Krasnodar ,Russia,Premier Liga,Spartak Moscow,27,9.5,6.0,0.0,0,5.227083333333333,2015-08-31,61,60
2015-07-01,2015,1,I,False,15/16,Youssef El Jebli,Attacking Midfield,Netherlands,Topklasse Zondag,Lienden ,Netherlands,Eredivisie,De Graafschap Doetinchem,22,0.05,0.05,11.0,12,0.05,2015-08-31,61,60
2015-07-18,2015,1,I,False,15/16,Vladimir Darida,Central Midfield,Germany,2.Bundesliga,SC Freiburg ,Germany,1.Bundesliga,Hertha BSC,24,5.5,3.8,35.0,36,8.236363636363636,2015-08-31,44,40
2015-08-24,2015,1,I,False,15/16,Niklas Stark,Centre-Back,Germany,2.Bundesliga,1.FC Nuremberg ,Germany,1.Bundesliga,Hertha BSC,20,2.0,3.0,34.0,36,8.236363636363636,2015-08-31,7,10
2015-07-01,2015,1,I,True,15/16,Sergey Tkachev,Attacking Midfield,Russia,Premier Liga,Loko Moscow ,Russia,Premier Liga,Kuban Krasnodar,26,2.5,1.5,23.0,24,1.5,2015-08-31,61,60
2015-07-01,2015,1,E,True,15/16,Germán Pezzella,Centre-Back,Argentina,Primera División,River Plate ,Spain,Primera División,Real Betis Balompié,24,2.5,2.25,0.0,0,6.0,2015-08-31,61,60
2015-07-01,2015,1,E,False,15/16,Petros,Defensive Midfield,Brazil,Campeonato Brasileiro Série A,Corinthians ,Spain,Primera División,Real Betis Balompié,26,2.0,1.7,35.0,36,6.0,2015-08-31,61,60
2015-08-31,2015,1,E,False,15/16,Joaquín,Right Winger,Italy,Serie A,Fiorentina ,Spain,Primera División,Real Betis Balompié,34,1.0,1.5,9.0,12,6.0,2015-08-31,0,0
2015-07-09,2015,1,E,False,15/16,Cristiano Piccini,Right-Back,Italy,Serie A,Fiorentina ,Spain,Primera División,Real Betis Balompié,22,0.7,1.5,0.0,0,6.0,2015-08-31,53,50
2015-07-01,2015,1,I,True,15/16,Francisco Portillo,Right Winger,Spain,Primera División,Málaga CF ,Spain,Primera División,Real Betis Balompié,25,1.5,1.0,11.0,12,6.0,2015-08-31,61,60
2015-07-01,2015,1,E,False,15/16,Foued Kadir,Attacking Midfield,France,Ligue 1,Marseille ,Spain,Primera División,Real Betis Balompié,31,1.2,0.6,11.0,12,6.0,2015-08-31,61,60
2015-07-06,2015,1,unknown,False,15/16,Amro Tarek,Centre-Back,Unknown,Unknown,El Gouna ,Spain,Primera División,Real Betis Balompié,23,0.2,0.3,23.0,24,6.0,2015-07-06,0,0
2015-07-22,2015,1,I,True,15/16,Christian Benteke,Centre-Forward,England,Premier League,Aston Villa ,England,Premier League,Liverpool FC,24,20.0,46.5,23.0,24,26.103120000000004,2015-09-01,41,40
2015-07-01,2015,1,E,False,15/16,Roberto Firmino,Centre-Forward,Germany,1.Bundesliga,TSG Hoffenheim ,England,Premier League,Liverpool FC,23,25.0,41.0,23.0,24,26.103120000000004,2015-09-01,62,60
2015-07-01,2015,1,I,True,15/16,Nathaniel Clyne,Right-Back,England,Premier League,Southampton ,England,Premier League,Liverpool FC,24,17.0,17.7,11.0,12,26.103120000000004,2015-09-01,62,60
2015-07-01,2015,1,I,False,15/16,Danny Ings,Centre-Forward,England,Championship,Burnley ,England,Premier League,Liverpool FC,22,12.0,8.3,11.0,12,26.103120000000004,2015-09-01,62,60
2015-07-01,2015,1,I,False,15/16,Joe Gomez,Centre-Back,England,Championship,Charlton ,England,Premier League,Liverpool FC,18,2.5,4.9,23.0,24,26.103120000000004,2015-09-01,62,60
2015-08-31,2015,1,unknown,False,15/16,Taiwo Awoniyi,Centre-Forward,Unknown,Unknown,Imperial Acad. ,England,Premier League,Liverpool FC,18,1.1e-06,1.1,0.0,0,26.103120000000004,2015-08-31,0,0
2015-07-01,2015,1,I,False,15/16,Luca Valzania,Central Midfield,Italy,Serie B,Cesena ,Italy,Serie A,Atalanta BC,19,0.35,6.2,0.0,0,5.085111111111112,2015-08-31,61,60
2015-08-26,2015,1,E,False,15/16,Rafael Tolói,Centre-Back,Brazil,Campeonato Brasileiro Série A,São Paulo ,Italy,Serie A,Atalanta BC,24,5.0,3.87,22.0,24,5.085111111111112,2015-08-31,5,0
2015-07-01,2015,1,I,True,15/16,Jasmin Kurtic,Central Midfield,Italy,Serie A,Sassuolo ,Italy,Serie A,Atalanta BC,26,3.5,3.2,0.0,0,5.085111111111112,2015-08-31,61,60
2015-07-01,2015,1,unknown,False,15/16,Franck Kessié,Central Midfield,Unknown,Unknown,Stella Club ,Italy,Serie A,Atalanta BC,18,0.3,1.5,23.0,24,5.085111111111112,2015-07-02,1,0
2015-07-11,2015,1,E,False,15/16,Marten de Roon,Defensive Midfield,Netherlands,Eredivisie,Heerenveen ,Italy,Serie A,Atalanta BC,24,1.25,1.3,23.0,24,5.085111111111112,2015-08-31,51,50
2015-07-01,2015,1,I,True,15/16,Isnik Alimi,Central Midfield,Italy,Serie A,Chievo Verona ,Italy,Serie A,Atalanta BC,21,0.125,1.2,0.0,0,5.085111111111112,2015-08-31,61,60
2015-07-18,2015,1,E,False,15/16,Boris Radunović,Goalkeeper,Serbia,SuperLiga,Rad ,Italy,Serie A,Atalanta BC,19,0.5,0.96,11.0,12,5.085111111111112,2015-08-31,44,40
2015-07-23,2015,1,E,False,15/16,Gaetano Monachello,Centre-Forward,France,Ligue 1,Monaco ,Italy,Serie A,Atalanta BC,21,0.9,0.5,11.0,12,5.085111111111112,2015-08-31,39,40
2015-09-01,2015,1,I,False,15/16,Bradley Johnson,Central Midfield,England,Premier League,Norwich ,England,Championship,Derby County,28,4.0,8.1,9.0,12,3.89375,2015-09-01,0,0
2015-07-03,2015,1,I,True,15/16,Tom Ince,Right Winger,England,Championship,Hull City ,England,Championship,Derby County,23,6.5,6.7,11.0,12,3.89375,2015-09-01,60,60
2015-09-01,2015,1,I,True,15/16,Jacob Butterfield,Central Midfield,England,Championship,Huddersfield ,England,Championship,Derby County,25,1.2,5.5,33.0,36,3.89375,2015-09-01,0,0
2015-07-01,2015,1,I,False,15/16,Andreas Weimann,Right Winger,England,Premier League,Aston Villa ,England,Championship,Derby County,23,4.5,3.8,11.0,12,3.89375,2015-09-01,62,60
2015-07-17,2015,1,E,False,15/16,Teófilo Gutiérrez,Centre-Forward,Argentina,Primera División,River Plate ,Portugal,Primeira Liga,Sporting CP,30,3.5,3.4,0.0,0,3.607727272727273,2015-08-31,45,40
2015-07-16,2015,1,E,False,15/16,Naldo,Centre-Back,Italy,Serie A,Udinese Calcio ,Portugal,Primeira Liga,Sporting CP,26,2.5,3.0,35.0,36,3.607727272727273,2015-08-31,46,50
2015-07-01,2015,1,E,False,15/16,Ewerton,Centre-Back,Russia,Premier Liga,Anzhi ,Portugal,Primeira Liga,Sporting CP,26,3.75,1.5,0.0,0,3.607727272727273,2015-08-31,61,60
2015-07-03,2015,1,E,False,15/16,Bryan Ruíz,Attacking Midfield,England,Championship,Fulham ,Portugal,Primeira Liga,Sporting CP,29,5.0,1.32,11.0,12,3.607727272727273,2015-08-31,59,60
2015-08-31,2015,1,E,False,15/16,Robert Beric,Centre-Forward,Austria,Bundesliga,Rapid Vienna ,France,Ligue 1,AS Saint-Étienne,24,3.0,7.5,33.0,36,3.3086956521739133,2015-08-31,0,0
2015-07-21,2015,1,I,True,15/16,Nolan Roux,Centre-Forward,France,Ligue 1,LOSC Lille ,France,Ligue 1,AS Saint-Étienne,27,4.5,2.0,11.0,12,3.3086956521739133,2015-08-31,41,40
2015-07-01,2015,1,E,False,15/16,Kévin Théophile-Catherine,Centre-Back,England,Championship,Cardiff ,France,Ligue 1,AS Saint-Étienne,25,4.0,2.0,23.0,24,3.3086956521739133,2015-08-31,61,60
2015-08-10,2015,1,I,True,15/16,Neal Maupay,Centre-Forward,France,Ligue 1,OGC Nice ,France,Ligue 1,AS Saint-Étienne,18,2.0,0.6,22.0,24,3.3086956521739133,2015-08-31,21,20
2015-08-28,2015,1,I,False,15/16,Kévin Malcuit,Right-Back,France,Ligue 2,Chamois Niort ,France,Ligue 1,AS Saint-Étienne,24,0.6,0.5,10.0,12,3.3086956521739133,2015-08-31,3,0
2015-07-29,2015,1,I,False,15/16,Robbie Brady,Left Midfield,England,Championship,Hull City ,England,Premier League,Norwich City,23,2.0,9.9,0.0,0,3.1718857142857138,2015-09-01,34,30
2015-07-01,2015,1,I,True,15/16,Graham Dorrans,Central Midfield,England,Premier League,West Brom ,England,Premier League,Norwich City,28,2.0,4.1,23.0,24,3.1718857142857138,2015-09-01,62,60
2015-08-13,2015,1,I,True,15/16,Gerard Moreno,Centre-Forward,Spain,Primera División,Villarreal ,Spain,Primera División,RCD Espanyol Barcelona,23,4.0,1.5,0.0,0,5.628571428571428,2015-08-31,18,20
2015-07-01,2015,1,I,False,15/16,Lucas Vázquez,Right Winger,Spain,Segunda División B - Grupo II,RM Castilla ,Spain,Primera División,RCD Espanyol Barcelona,24,5.0,0.5,23.0,24,5.628571428571428,2015-08-31,61,60
